"294427915960070144","Karina Surabaya","@karinasurabaya","144402626","Caritas Indonesia is known as Karina. Our compassion from Surabaya. Email: karinasurabaya@yahoo.com","Surabaya","3) Now the target is thousands victims who resided illegally because of not have ID and also untouched villages #JakartaFlood","01/24/2013","19:54:20"
"294309435768184832","mwieriks","@mwieriks","133284174","Data Science. Systems Engineering. Infrastructure. Civil Society. Politics. Soto Ayam.","Indonesia","Jakarta wakes up to another day of rain and floods. Pluit hit hardest again. Worst rain yet predicted next weekend. #jakartaflood #banjir","01/24/2013","12:03:32"
"294429551772196864","Karina Surabaya","@karinasurabaya","144402626","Caritas Indonesia is known as Karina. Our compassion from Surabaya. Email: karinasurabaya@yahoo.com","Surabaya","4) with other ER networks, Diocese of Surabaya, Purwokerto, Bandung sends volunteers to conduct needs assessment #JakartaFlood","01/24/2013","20:00:50"
"294427023982612482","Karina Surabaya","@karinasurabaya","144402626","Caritas Indonesia is known as Karina. Our compassion from Surabaya. Email: karinasurabaya@yahoo.com","Surabaya","2) Some parishes assisted by others parishes. But a few parishes in North Jakarta and near the river, flooded longer #JakartaFlood","01/24/2013","19:50:47"
"294306067171647488","Moldychris","@Moldygood","100121941","Just make interesting my live and fun day with new friends","manado ","Mobil tenggelam #banjirpluit #jakartaflood #jakartatenggelam #banjirjakarta #prayforjakarta #like4like #fo http://instagr.am/p/U2onyywfdh/","01/24/2013","11:50:09"
"294086935494930432","Instagram","@instagram_ID","471896475","Kumpulan koleksi foto Instagram di Indonesia. #instagram","Indonesia","/@Moldygood Mobil terendam di baseman Plaza UOB jakarta #jakartaflood #jakartatenggelam #plazauob #car #instagram #insta http:...","01/23/2013","21:19:23"
"294085528947683328","kyra pradiono","@kukywa","61167372","Student of life :))","where the ♥ is","Habitat for Humanity Indonesia in-need of <quote>disaster kits for babies<quote> age 0-2yo. Contact person, Hapsoro: 0811908982. Thk u :) #Jakartaflood","01/23/2013","21:13:48"
"294081542454665216","Cheek Terrence","@baconxpapi","344172926","A blonde dude from North Carolina who post selfies of himself pouting... sometimes! 😭 *slight fever","North Carolina, USA","Zalora Indonesia Donates 2,500 Fashion Items to Jakarta Flood Victims http://bit.ly/WUOIYS #JakartaFlood #disaster #environment","01/23/2013","20:57:58"
"294070348251545600","Kiko","@kikoncit","202517501","Money maker, asset builder, independent traveler, food adventurer, movie goer","Jakarta","Two weeks after this #NYE party #jakarta #indonesia is hit by a severe #flood called #jakartaflood. #prayfor http://instagr.am/p/U09cf8j4XH/","01/23/2013","20:13:29"
"294027778184077312","Reny","@renygunarsa","503769613","Warm heart is an endless summer","Indonesia","Jakarta, especially children still need your helps. Please mention @WahanaVisi_ID to donate. YOUR SUPPORT IS REALLY HELPFUL! #JakartaFlood","01/23/2013","17:24:19"
